Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD10_L0001,A black blob was forming.,검은 덩어리가 뭉치고 있었어.
SD10_L0002,As soon as I saw him I hoped I was wrong.,그를 보자마자 나는 내 생각이 틀리길 바랐을 뿐.
SD10_L0003,"But alas. I could sense him, on an intuitive level.","하지만 안타깝게도, 나는 알 수 있었어. 본능적인 차원으로."
SD10_L0004,His actions and emotions.,그가 어떤 감정으로 무슨 행위를 하고 있는지.
SD10_L0005,I felt... pain. As if it were my body being scratched.,난…… 통증을 느꼈어. 내 몸뚱이가 긁히는 것마냥.
SD10_L0006,"As his nails peeled back his skin, with every acute pulse of pain,","그가 자신의 피부를 긁어 낼 때마다, 날카로운 자극을 찾아들 때마다,"
SD10_L0007,black blobs began to form.,검은 덩어리가 뭉치고 있었어.
SD10_L0008,Blobs that looked like balled-up screams.,덩어리들은 뭉쳐 있던 비명처럼 보였어.
SD10_L0009,Balled-up screams.,뭉쳐 있던 비명.
SD10_L0010,From within him.,그의 내면에 있던.
SD10_L0011,"Cinders from a dead flame,",타고 남은 재
SD10_L0012,"swarms of cockroaches,",떼 지은 좀벌레
SD10_L0013,globs of red-black blood…,시커먼 핏덩어리....
